category_id,canonical_id,review_status,severity,term_count,phrase_count,pattern_count,vision_min_confidence,eval_hits,top_phrases,top_terms
misleading,misleading.false_affiliation_or_endorsement,approved,high,18,7,4,0.55,4,as seen on | endorsed by | official partner | celebrity endorsed | scientifically proven | doctor recommended | clinically proven,support | brand | government | false | impersonation | identity | qualifications | scamming | hiding | business
misleading,misleading.guaranteed_outcomes,approved,high,20,7,5,0.55,3,results may vary | or your money back | guaranteed overnight | results in days | scientifically proven | doctor recommended | clinically proven,guaranteed | overnight | instant | 100% | promises | within | timeframe | qualifying | can't | promise
misleading,misleading.missing_or_inconsistent_material_info,approved,medium,18,3,4,0.55,2,scientifically proven | doctor recommended | clinically proven,promise | product | offer | match | landing | page | accurately | reflect | sold | same
misleading,misleading.unsubstantiated_objective_claims,approved,high,18,3,4,0.55,26,scientifically proven | doctor recommended | clinically proven,unsubstantiated | superiority | objective | evidence | stores | truthful | accurate | support | best | misleading
political,political.authorization_and_disclaimer_required,approved,high,6,5,3,0.65,21,paid for by | authorized by | not authorized by | vote for | political advertisement,election | political | social-issue | express-advocacy | solicitation | electioneering
political,political.paid_political_ads_prohibited,approved,high,18,6,3,0.65,19,political advertisement | vote for | elect | campaign contribution | paid for by | authorized by,political | advocating | against | candidates | parties | propositions | regulations | fundraising | exploiting | sensitive
political,political.synthetic_content_disclosure,approved,high,18,8,3,0.65,1,ai generated | synthetic media | deepfake | digitally altered | vote for | paid for by | authorized by | political advertisement,election | synthetic | digitally | altered | video | audio | inauthentically | depict | realistic | events
privacy,privacy.data_collection_disclosure_required,approved,medium,18,4,1,0.55,2,sell your data | opt out | personal information | data collection,landing | pages | collect | share | data | privacy-policy | distribute | malicious | undisclosed | unwanted
privacy,privacy.minor_opt_in_for_sale_or_sharing,approved,high,18,4,1,0.55,1,sell your data | opt out | personal information | data collection,selling | sharing | personal | consumer | known | affirmative | opt-in | parent | business | sell
privacy,privacy.opt_out_of_sale_or_sharing_for_targeted_ads,approved,high,18,4,1,0.55,3,sell your data | opt out | personal information | data collection,selling | sharing | personal | cross-context | behavioral | sell | share | link | honoring | opt-out
privacy,privacy.sensitive_attribute_targeting_prohibited,approved,high,18,4,1,0.55,14,sell your data | opt out | personal information | data collection,advertiser-curated | customer | match | remarketing | lookalike | custom | segments | sensitive | interest | categories
