id,label,matcher,reason,content
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0075,fragment,misses,This phrase is incomplete. 'gentle on the planet' requires context to understand what product or action is gentle on the planet.,gentle on the planet
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0076,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Happitat™ Soft Rayon From Bamboo Duvet Cover and Sham Set
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0077,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Happitat™ Fluffy Rayon From Bamboo Mattress Pad
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0078,assessable_claim,fires,This is a self-contained advertising claim that promises environmentally friendly use due to a highly renewable bamboo blend. A compliance reviewer could assess this claim for substantiation.,Highly renewable bamboo blend promises environmentally friendly use
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0079,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Pacific Coast Textiles 6-pack Bamboo Towel Set
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0080,assessable_claim,misses,This is a self-contained advertising claim that promises coziness and suits eco-friendly taste. A compliance reviewer could assess the 'eco-friendly' aspect of this claim.,Going green has never been so sumptuous . . . this sheet set keeps you cozy while suiting your eco-friendly taste
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0087,assessable_claim,fires,This is a self-contained advertising claim about the material composition of washcloths. A compliance reviewer could assess the truthfulness of the '100% natural bamboo fibers' claim.,washcloths are made from 100% natural bamboo fibers
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0089,fragment,misses,This phrase is incomplete. 'renewable and environmentally sustainable' requires context to understand what product or material is being described as such.,renewable and environmentally sustainable
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0095,assessable_claim,misses,This is a self-contained advertising claim that promises to appeal to a sense of luxury and a desire to help the planet. The 'help the planet' aspect is an assessable claim.,Our Serenity Bamboo Comforter will appeal to your sense of luxury and your desire to help the planet
harv_ev_ftc_devry_education_claims_2016_0099,assessable_claim,misses,This is a self-contained advertising claim that promises career success if one counts on DeVry. A compliance reviewer could assess this claim for substantiation.,Count on DeVry for Career Success
harv_ev_ftc_omics_deceptive_publishing_2019_0108,not_a_claim,misses,"This is a heading or a list title, not an advertising claim.",Peer Review Journal List
harv_ev_ftc_omics_deceptive_publishing_2019_0109,not_a_claim,misses,"This is a heading or a process description, not an advertising claim.",OMICS Peer Review Process
harv_ev_ftc_omics_deceptive_publishing_2019_0110,not_a_claim,misses,"This appears to be a company name or a descriptive title, not an advertising claim.",iMedPub LTD Peer Reviewed Open Access Journals & Articles Publishing Company
harv_ev_ftc_omics_deceptive_publishing_2019_0112,assessable_claim,misses,This is a self-contained claim about the quality of the appointed board members.,Only top scholars are appointed to Boards of Editors
harv_ev_ftc_amazon_prime_dark_patterns_2023_0119,assessable_claim,misses,"This is a clear, self-contained advertising claim about a benefit of Prime.",Get FREE Two-Day Delivery with Prime
harv_ev_ftc_amazon_prime_dark_patterns_2023_0120,assessable_claim,fires,"This is a clear, self-contained advertising claim about a monetary saving.",Save $5.99 instantly on this order
harv_ev_ftc_amazon_prime_dark_patterns_2023_0132,not_a_claim,misses,"This is an instruction or a button label, not an advertising claim.",End Your Amazon Prime Membership
harv_ev_ftc_amazon_prime_dark_patterns_2023_0133,not_a_claim,misses,"This is an instruction or a button label, not an advertising claim.",End Your Prime Membership
harv_ev_ftc_amazon_prime_dark_patterns_2023_0140,not_a_claim,misses,"This is an instruction or a call to action, not an advertising claim.",Sign up for Prime
harv_ev_ftc_amazon_prime_dark_patterns_2023_0141,assessable_claim,fires,This is a self-contained claim about a benefit of a free trial.,FREE Same-Day Delivery with a free trial of Amazon Prime
harv_ev_ftc_amazon_prime_dark_patterns_2023_0142,assessable_claim,misses,This is a self-contained claim offering a free trial for a specific duration.,Try Prime FREE for 30 days
harv_ev_ftc_amazon_prime_dark_patterns_2023_0143,assessable_claim,misses,"This is a clear, self-contained advertising claim about a benefit of Prime.",Get FREE Prime Delivery with Prime
harv_ev_ftc_amazon_prime_dark_patterns_2023_0144,assessable_claim,misses,This is a self-contained claim about the terms of a service.,No hassle. No Commitments. Cancel Anytime
harv_ev_ftc_amazon_prime_dark_patterns_2023_0145,assessable_claim,misses,This is a self-contained claim offering a free Prime membership for a specific duration.,we’re giving you Prime FREE for 30 days!
harv_ev_ftc_amazon_prime_dark_patterns_2023_0146,assessable_claim,misses,This is a self-contained claim about getting Prime eligible items for free.,Get your Prime eligible items for $5.99 FREE
harv_ev_ftc_amazon_prime_dark_patterns_2023_0147,not_a_claim,misses,"This is an instruction or a call to action, not an advertising claim.",Start your Prime FREE trial
harv_ev_ftc_amazon_prime_dark_patterns_2023_0148,assessable_claim,misses,This is a self-contained claim about the ability to cancel at any time.,"Don’t worry, cancel anytime"
harv_ev_ftc_amazon_prime_dark_patterns_2023_0154,assessable_claim,misses,"This is a clear, self-contained advertising claim about a shipping benefit.",Get FREE two-day shipping
harv_ev_ftc_amazon_prime_dark_patterns_2023_0175,fragment,misses,This is incomplete and depends on missing context to be understood as a claim.,storefront that they can
harv_ev_ftc_amazon_prime_dark_patterns_2023_0176,not_a_claim,misses,"This is narrative from a legal document, not advertising copy.",Compl. ¶ 113. Consumers who click that button are told
harv_ev_ftc_amazon_prime_dark_patterns_2023_0177,not_a_claim,fires,"This is an instruction or descriptive text about how to end a membership, not an advertising claim.",You can end your Prime membership by selecting the End Membership button on this page
harv_ev_ftc_amazon_prime_dark_patterns_2023_0178,not_a_claim,fires,"This is an instruction or a call to action, not an advertising claim.",start watching videos by clicking here!
harv_ev_ftc_facebook_privacy_2019_0202,fragment,misses,"This is incomplete and depends on missing context to be understood as a claim (e.g., 'you can review and edit...').",review and edit the privacy of key pieces of information
harv_ev_ftc_facebook_privacy_2019_0207,fragment,misses,"This is incomplete and depends on missing context to be understood as a claim (e.g., 'you can control who can see...').",control who can see
harv_ev_ftc_facebook_privacy_2019_0210,not_a_claim,misses,"This appears to be a heading or a descriptive statement, not an advertising claim.",Responding to Your Feedback
harv_ev_ftc_facebook_privacy_2019_0211,not_a_claim,misses,"This appears to be a descriptive statement or a heading, not a direct advertising claim about a product or service's benefits or features.",Facebook Expands Power of Platform Across the Web and Around the World
harv_ev_ftc_chegg_data_security_2023_0226,assessable_claim,fires,"This is a self-contained claim about the security measures taken by Chegg to protect personal information, which could be assessed for truthfulness and substantiation.","Chegg takes commercially reasonable security measures to protect the Personal Information submitted to us, both during transmission and once we receive it"
harv_ev_ftc_intuit_turbotax_free_2022_0234,assessable_claim,misses,"This is a direct advertising claim stating that taxes are free with TurboTax AbsoluteZero, which can be assessed for accuracy.","Hey, at least your taxes are free. . . . With TurboTax AbsoluteZero, at least your taxes are free"
harv_ev_ftc_intuit_turbotax_free_2022_0237,not_a_claim,misses,"This appears to be a title or label for a video version, not an advertising claim.",Movie Credits Version 2
harv_ev_ftc_intuit_turbotax_free_2022_0239,not_a_claim,misses,"This appears to be a title or label for a video version, not an advertising claim.",Movie Credits 15-second Version 2
harv_ev_ftc_intuit_turbotax_free_2022_0241,assessable_claim,fires,"This is a direct and repetitive claim that 'TurboTax free is free', which can be assessed for accuracy.","That’s right, TurboTax free is free. Free, free free free"
harv_ev_ftc_intuit_turbotax_free_2022_0244,assessable_claim,misses,"This is a direct and repetitive claim of 'Free', which can be assessed for accuracy in the context of a tax service.","Free, free free free"
harv_ev_ftc_intuit_turbotax_free_2022_0246,assessable_claim,fires,"This is a direct claim that 'TurboTax Free is free', which can be assessed for accuracy.","That’s right, TurboTax Free is free"
harv_ev_ftc_intuit_turbotax_free_2022_0256,assessable_claim,fires,"This is a direct and repetitive claim that 'TurboTax Free Edition is free', which can be assessed for accuracy.","That’s right, TurboTax Free Edition is free. Free, free free free"
harv_ev_ftc_intuit_turbotax_free_2022_0260,assessable_claim,misses,"This is a clear, self-contained advertising claim offering to 'File your taxes FREE'.",File your taxes FREE
harv_ev_ftc_intuit_turbotax_free_2022_0261,assessable_claim,misses,"This is a clear, self-contained advertising claim offering a 'FREE final expert review'.","Plus, get a FREE final expert review"
harv_ev_ftc_intuit_turbotax_free_2022_0262,assessable_claim,fires,"This is a self-contained advertising claim offering free federal and state tax filing, with a condition and a guarantee, which can be assessed.",Simple tax returns only. File your federal and state taxes for free. Guaranteed
harv_ev_ftc_intuit_turbotax_free_2022_0263,assessable_claim,fires,"This is a clear, self-contained advertising claim stating that federal and state taxes can be filed for zero dollars.",File your federal and state taxes for zero dollars
harv_ev_ftc_intuit_turbotax_free_2022_0264,assessable_claim,fires,"This is a clear, self-contained advertising claim stating that federal and state taxes can be filed for free.",File your federal and state taxes for free
harv_ev_ftc_intuit_turbotax_free_2022_0265,assessable_claim,fires,"This is a self-contained advertising claim detailing multiple ways to file taxes for free, with conditions, which can be assessed.","File your taxes free, your way. Do it yourself free. Get unlimited advice from tax experts free or have an expert do it all for you 100% free only from turbo tax. Simple tax returns only. Must file by February 15th"
harv_ev_ftc_intuit_turbotax_free_2022_0266,assessable_claim,fires,"This is a self-contained advertising claim detailing multiple ways to file taxes for free, with conditions, which can be assessed.","Now file your taxes free your way. Do it yourself, file with unlimited help, or have an expert do it all for you. Pay zero to file only from Turbo Tax. Simple tax returns only. Must file by February 15th"
harv_ev_ftc_intuit_turbotax_free_2022_0267,assessable_claim,fires,"This is a self-contained advertising claim detailing multiple ways to file taxes for free, with conditions, which can be assessed.",File your taxes free your way. Do it yourself free. Get unlimited advice from tax experts free or have an expert do it all for you. 100% free. Only from Turbo Tax. Simple tax returns only. Must file by March 31st
harv_ev_ftc_intuit_turbotax_free_2022_0268,assessable_claim,fires,"This is a direct and repetitive claim that 'turbo tax free edition is free', which can be assessed for accuracy.","That’s right. turbo tax free edition is free. Free, free, free, free"
harv_ev_ftc_intuit_turbotax_free_2022_0271,assessable_claim,fires,This is a self-contained advertising claim promising a 'guaranteed biggest refund fast and FREE'.,start the transfer and get your guaranteed biggest refund fast and FREE!
harv_ev_ftc_intuit_turbotax_free_2022_0274,assessable_claim,fires,"This is a clear, self-contained advertising claim offering 'FREE guaranteed - $0 Fed $0 State $0 To File'.",FREE guaranteed - $0 Fed $0 State $0 To File
harv_ev_ftc_intuit_turbotax_free_2022_0275,assessable_claim,fires,"This is a clear, self-contained advertising claim offering 'FREE guaranteed $0 Fed $0 State $0 To File'.",FREE guaranteed $0 Fed $0 State $0 To File
harv_ev_ftc_intuit_turbotax_free_2022_0276,assessable_claim,misses,"This is a self-contained advertising claim offering to file simple tax returns for free, with repetition, which can be assessed.","File your simple tax returns for FREE Free, free free free FREE! You have everything you need to finish and file for free, free, free and yes __FREE!"
harv_ev_ftc_intuit_turbotax_free_2022_0278,assessable_claim,misses,"This is a clear, self-contained advertising claim promising to 'Get your biggest refund absolutely free'.",Get your biggest refund absolutely free
harv_ev_ftc_intuit_turbotax_free_2022_0279,assessable_claim,misses,"This is a clear, self-contained advertising claim encouraging users to 'Join the millions who file for $0'.",Join the millions who file for $0
harv_ev_ftc_intuit_turbotax_free_2022_0281,assessable_claim,misses,"This is a clear, self-contained advertising claim stating 'IRS taxes for free'.",IRS taxes for free
harv_ev_ftc_intuit_turbotax_free_2022_0289,assessable_claim,fires,This is a self-contained advertising claim that promises a specific benefit: filing taxes for free.,Allows me to file my taxes for free
harv_ev_ftc_intuit_turbotax_free_2022_0336,assessable_claim,fires,This is a direct and self-contained advertising claim stating that TurboTax Free Edition is free.,That’s right. TurboTax Free Edition is free
harv_ev_ftc_intuit_turbotax_free_2022_0338,assessable_claim,misses,This is a clear and self-contained advertising claim promising that users can file taxes on TurboTax for free.,you can file on TurboTax for absolutely nothing
harv_ev_ftc_intuit_turbotax_free_2022_0345,assessable_claim,fires,"This is a comprehensive advertising claim with multiple promises of free services, including conditions. It is self-contained and assessable.","File your taxes free, your way. Do it yourself free. Get unlimited advice from tax experts free or have an expert do it all for you. 100% free. Only from TurboTax. Simple tax returns only. Must file by February 15th"
harv_ev_ftc_intuit_turbotax_free_2022_0346,assessable_claim,fires,"This is a self-contained advertising claim presented as a title or slogan, promising 100% free online tax filing.",TurboTax® Official Site – 100% Free Online Tax Filing
harv_ev_ftc_intuit_turbotax_free_2022_0348,assessable_claim,fires,"This is a self-contained advertising claim, presented as a title or slogan, promising free, fast, easy, and 100% free tax filing.","TurboTax® Free Tax Filing – E-file Your Taxes For Free. . . . Fast, easy and 100% free"
harv_ev_ftc_herbalife_mlm_2016_0368,fragment,misses,"The ellipses indicate missing context, making it a fragment. 'take control of your ... situation / financial future / life' is incomplete without knowing what 'situation' or 'life' refers to specifically in the ad.",take control of your . . . situation / financial future / life
harv_ev_ftc_herbalife_mlm_2016_0369,assessable_claim,misses,This is a self-contained advertising claim inviting people to 'join the emerging megatrend of wellness'. It implies a benefit or opportunity.,join the emerging megatrend of wellness
harv_ev_ftc_herbalife_mlm_2016_0370,assessable_claim,fires,This is a self-contained advertising claim promising the ability to earn discounts and profits by retailing products.,allows you to earn Member discounts and profits instantly by retailing products
harv_ev_ftc_herbalife_mlm_2016_0371,assessable_claim,misses,"This is a self-contained factual claim about the company's performance, stating it 'has surpassed the GNP of all major European countries'.",has surpassed the GNP of all major European countries
harv_ev_ftc_weight_watchers_kurbo_coppa_2022_0376,assessable_claim,misses,This is a self-contained descriptive claim about the product's features: 'child-focused lessons and content'.,child-focused lessons and content
harv_ev_ftc_mediaalpha_insurance_leads_2025_0381,assessable_claim,misses,This is a self-contained claim about the company's operations: 'working with hundreds of different insurance carriers'.,working with hundreds of different insurance carriers
harv_ev_ftc_mediaalpha_insurance_leads_2025_0382,assessable_claim,misses,"This is a self-contained claim, likely a boast or description of providers offered: 'Top Health Insurance Providers'.",Top Health Insurance Providers
harv_ev_ftc_mediaalpha_insurance_leads_2025_0383,assessable_claim,misses,This is a self-contained descriptive claim about the entity: 'national health enrollment center'.,national health enrollment center
harv_ev_ftc_mediaalpha_insurance_leads_2025_0384,fragment,fires,The claim 'discount would significantly lower consumers’ medical bills by' is incomplete. It needs to specify 'by how much' to be a full claim.,discount would significantly lower consumers’ medical bills by
harv_ev_ftc_mediaalpha_insurance_leads_2025_0386,assessable_claim,misses,This is a clear and self-contained advertising claim offering a 'FREE HEALTH INSURANCE PLAN'.,FREE HEALTH INSURANCE PLAN
harv_ev_ftc_mediaalpha_insurance_leads_2025_0387,assessable_claim,misses,"This is a self-contained advertising claim, likely a program name or offer: 'Health Insurance Give Back Program'.",Health Insurance Give Back Program
harv_ev_ftc_mediaalpha_insurance_leads_2025_0388,assessable_claim,misses,"This is a self-contained claim, likely a product or program name: 'Trump Health Care Plan'.",Trump Health Care Plan
harv_ev_ftc_mediaalpha_insurance_leads_2025_0389,assessable_claim,misses,This is a self-contained claim about the number of people who qualified for a specific health plan and its cost.,millions of Americans … were able to qualify for a great health plan for $1/day
harv_ev_ftc_mediaalpha_insurance_leads_2025_0390,assessable_claim,misses,This is a self-contained descriptive claim about a process: 'Quick and Easy Eligibility Process'.,Quick and Easy Eligibility Process
harv_ev_ftc_mediaalpha_insurance_leads_2025_0391,assessable_claim,misses,This is a self-contained advertising claim about pricing: 'Health Plans from $1'.,Health Plans from $1
harv_ev_ftc_mediaalpha_insurance_leads_2025_0392,assessable_claim,fires,"This is a self-contained advertising claim promising the ability to 'Instantly Browse Prices, Plans, and Eligibility'.","Instantly Browse Prices, Plans, and Eligibility"
harv_ev_ftc_mediaalpha_insurance_leads_2025_0393,assessable_claim,misses,This is a self-contained call to action and claim about availability: 'Sign Up for 2023 Coverage Now'.,Sign Up for 2023 Coverage Now
harv_ev_ftc_mediaalpha_insurance_leads_2025_0395,assessable_claim,misses,This is a self-contained claim about an option provided to consumers: 'given the option to work with a health insurance agent'.,given the option to work with a health insurance agent
harv_ev_ftc_mediaalpha_insurance_leads_2025_0401,not_a_claim,fires,"This is a statement of qualification or identity, not an advertising claim about a product or service. It describes the speaker's role.",I'm a licensed health insurance agent and benefits coordinator for the headquarters of the state of New Jersey
harv_ev_ftc_nextmed_weight_loss_2025_0410,assessable_claim,fires,This is a self-contained advertising claim stating that NextMed offers specific FDA approved weight-loss medications.,NextMed offers new FDA approved weight-loss medications like Ozempic and Wegovy
harv_ev_ftc_nextmed_weight_loss_2025_0412,assessable_claim,misses,This is a self-contained advertising claim about the average weight loss of their members.,Our members lose over 53 lbs on average
harv_ev_ftc_nextmed_weight_loss_2025_0413,assessable_claim,fires,This is a self-contained advertising claim about the expected average percentage of body weight loss.,expect to lose up to an average of 23% of body weight
harv_ev_ftc_nextmed_weight_loss_2025_0414,assessable_claim,fires,This is a self-contained advertising claim combining a specific weight loss amount with a percentage.,can lose 53 pounds at 23% weight loss
harv_ev_ftc_nextmed_weight_loss_2025_0417,assessable_claim,misses,This is a self-contained advertising claim implying that no diet or exercise is required for the product/service.,no diet or exercise
harv_ev_ftc_hrblock_free_filing_2024_0423,assessable_claim,fires,This is a self-contained advertising claim stating that doing taxes yourself is free.,Best part of doing taxes yourself? It’s free
harv_ev_ftc_hrblock_free_filing_2024_0424,assessable_claim,misses,This is a self-contained advertising claim stating that simple returns can be filed for free.,Simple returns file free
harv_ev_ftc_instacart_deceptive_2025_0435,assessable_claim,misses,This is a self-contained advertising claim offering a benefit of peace of mind when placing an order.,Place your order with peace of mind
harv_ev_ftc_instacart_deceptive_2025_0436,assessable_claim,misses,This is a self-contained advertising claim promoting Instacart+ for free delivery and other benefits.,Join Instacart+ for free delivery and more
harv_ev_ftc_opendoor_ibuying_2022_0439,fragment,fires,This phrase is a fragment. 'Our best estimate of full market value' is incomplete without knowing what 'our best estimate' refers to or what it's being compared against.,our best estimate of full market value
