id,label,reason,content
harv_ev_nad_deel_payroll_hris_2024_53b711_2774,assessable_claim,"This is a self-contained advertising claim describing a service offered, including its features and maintenance.","Compliance document collection for contractors, on top of EOR, constantly reviewed and updated"
harv_ev_nad_nad_matys_cough_products_claims_2020_27afd5_0886,assessable_claim,This is a self-contained advertising claim about easing common cold symptoms.,helps ease common cold symptoms
harv_ev_dssrc_tastefully_simple_earnings_claims_2022_151063_3380,not_a_claim,"This is a rhetorical question, not a direct advertising claim about a product or service.",What would you do with an extra $500 to spend each month?
harv_ev_nad_nad_recommends_church_dwight_discontinue_scary_bleac_2016_b14ddc_1138,not_a_claim,"This is narrative text describing a discovery, not a direct advertising claim about a product's benefit or feature.",We read care labels on thousands of white garments and we were surprised they had this warning symbol which means do not use chlorine bleach
harv_ev_nad_nad_recommends_gillette_discontinue_moisturerich_des_2012_51e7f7_1641,assessable_claim,"This is a self-contained advertising claim, an imperative to 'treat your skin' with a specific product attribute.",Treat your skin to MoistureRich
harv_ev_nad_audien_rechargeable_hearing_aid_claims_2021_a9c473_3211,assessable_claim,This is a self-contained advertising claim comparing the product's technology to more expensive alternatives.,Similar technology to $5000 hearing aids
harv_ev_ftc_lumosity_brain_training_2016_0024,assessable_claim,"This is a self-contained advertising claim promising improvement in job performance, attitude, and ratings.","Improve Your Job Performance, Attitude, and Ratings"
harv_ev_caru_caru_recommends_spin_master_discontinue_certain_broa_2010_00b1c1_0170,assessable_claim,This is a self-contained advertising claim describing a 'revolutionary new toy' with a specific function.,revolutionary new toy for filling the bath with the foamiest bubbles
harv_ev_nad_gravity_defyer_shoes_claims_2021_427f5c_2890,assessable_claim,"This is a self-contained testimonial acting as an advertising claim, describing a life-changing experience with the shoes for back pain.",I’ve had lower back pain for years. Walking in these shoes was life changing for me. I feel like I’m walking on air
harv_ev_nad_frontier_communications_voluntarily_discontinues_cer_2017_990a04_1497,assessable_claim,This is a self-contained advertising claim about the internet service's capacity to handle online activities.,"Frontier Internet is enough to handle all you do online… You name it online, you can do it with Frontier"
harv_ev_nad_nad_reviews_advertising_for_renaissance_health_s_rev_2007_3b47aa_2520,not_a_claim,"This appears to be a title or heading for a report, not an advertising claim.",Natural Health News Report
harv_ev_nad_next_health_2025_7d4e94_3598,fragment,This phrase is incomplete and lacks context to be a standalone claim. It describes a desired outcome but not a product or service that delivers it.,"live the longest, most fulfilling life"
harv_ev_nad_nad_recommends_blue_buffalo_modify_certain_claims_to_2014_05a401_0154,not_a_claim,"This is narrative text discussing consumer awareness and a warning, not a direct advertising claim about a product's features or benefits.",Pet parents are learning the truth about the ingredients in some of the leading dog food brands. Don’t be fooled by the big name dog food brands
harv_ev_nad_nad_refers_advertising_claims_by_ba_sports_nutrition_2018_7e2eb6_1350,assessable_claim,This is a self-contained advertising claim comparing the product's naturalness and hydration benefits.,More Natural Better Hydration
harv_ev_nad_nad_recommends_mane_choice_modify_product_name_disco_2017_b818c0_1792,assessable_claim,This is a self-contained advertising claim describing a product's function as 'Growth Stimulating Edge Control'.,Growth Stimulating Edge Control
harv_ev_nad_nad_finds_chattem_can_support_challenged_claims_for__2014_f47d39_1102,assessable_claim,This is a self-contained advertising claim listing the symptoms relieved by the product.,temporarily relieves these symptoms of hay fever or other upper respiratory allergies ? nasal congestion ? runny nose ? sneezing ? itchy nose
harv_ev_nad_spectrum_download_speeds_claim_2022_701543_3336,fragment,This phrase is incomplete and lacks context. 'All of this' refers to something not present in the text.,keep up with all of this
harv_ev_nad_nad_recommends_chattem_discontinue_certain_claims_fo_2018_02ffc9_1605,assessable_claim,This is a self-contained advertising claim about the product's formulation to relieve dry mouth.,Specially formulated to help relieve dry mouth
harv_ev_ftc_facebook_privacy_2019_0207,fragment,This phrase is incomplete and lacks context. 'Control who can see' needs to specify what is being seen and in what context.,control who can see
harv_ev_nad_nad_recommends_euro_pro_modify_discontinue_certain_c_2012_0a1ad7_0062,assessable_claim,This is a self-contained advertising claim about a product's sustained cleaning power.,never loses cleaning power
harv_ev_dssrc_vivint_2026_c41d8e_3663,assessable_claim,"This is a self-contained claim about achieving financial freedom at a young age, which could be interpreted as an implied earnings claim for a business opportunity.",I’ve been able to experience financial freedom at 19-21 years old
harv_ev_nad_nad_reviews_claims_for_neuracel_reminds_advertisers__2015_0bc2c1_0312,assessable_claim,This is a direct and assessable claim promising the cessation of nerve pain.,No More Nerve Pain
harv_ev_nad_nad_recommends_wink_naturals_discontinue_certain_cha_2019_c58a63_2469,assessable_claim,"This is a self-contained claim describing how to use a product and the benefits it provides (relax, rest, breathe free).","Apply to the chest and neck area just before bedtime to relax, rest and breathe free"
harv_ev_nad_nad_refers_advertising_for_patenthealth_s_trigosamin_2011_ce4391_0310,assessable_claim,This is an assessable claim about a pill's ability to improve mobility quickly.,Imagine a pill that can start helping you get around more easily in just a matter of days
harv_ev_nad_nad_bel_marra_hearing_rescue_claims_2018_bbb7ed_1619,assessable_claim,This is a clear and assessable claim about improving hearing attributes.,"Improve the volume, range and sensitivity of your hearing"
harv_ev_nad_nad_finds_h_h_gregg_acted_properly_in_discontinue_ad_2012_2ed929_2367,not_a_claim,"This is a product description with pricing information, not a claim about the product's performance or benefits.",LG 30.7 Cu. Ft. Stainless Steel French Door Refrigerator SRP $3299.99. Now $2999
harv_ev_nad_nad_refers_advertising_for_ba_sports_nutrition_s_bod_2017_9c9085_0040,fragment,"This is a list of ingredients or characteristics, but it's incomplete as a claim. It's missing context like 'contains no...' or 'free from...' to be assessable.","artificial flavors, artificial sweeteners, artificial colors"
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0076,not_a_claim,"This is a product name and description, not an advertising claim about its performance or benefits.",Happitat™ Soft Rayon From Bamboo Duvet Cover and Sham Set
harv_ev_cfpb_bloomtech_isa_2024_0004,assessable_claim,"This is a direct and assessable claim about the financial terms of a service, promising no loans or debt.","No loans, no debt"
harv_ev_nad_nad_recommends_charter_discontinue_one_version_of_mo_2018_be3be9_0999,not_a_claim,"This appears to be a narrative or a complaint, not an advertising claim made by a company.",Satellite dish went out in the rain. Again
harv_ev_nad_nad_recommends_sanderson_farms_discontinue_claims_ab_2017_6e09e4_0986,not_a_claim,"This is a statement about a marketing tactic, not an advertising claim for a product or service.",just a trick to get you to pay more money
harv_ev_ftc_publishers_clearing_house_2023_0494,not_a_claim,"This looks like administrative or procedural text, possibly from a document, not an advertising claim.",Enc. Doc. W30 APPROVED. OP EN NOW!
harv_ev_nad_jjci_neutrogena_product_claims_2021_33b79a_2981,fragment,This is a fragment. It describes how a product is used but is missing the context of what 'used most often' implies or what benefit it provides.,used most often for themselves and their own families
harv_ev_nad_nad_finds_p_g_can_support_certain_claims_for_olay_ul_2014_051504_2280,assessable_claim,This is a clear and assessable claim about a product's function: releasing a moisturizing lotion.,releases a moisturizing lotion
harv_ev_nad_shenzhen_zhiyi_technology_modifies_discontinues_clai_2017_785e56_2446,assessable_claim,This is a self-contained and assessable claim about a product's ability to reduce dust and allergens.,"Dust is reduced by iLife’s filter, thus reducing the amount of allergens in the air"
harv_ev_nad_sumo_logic_discontinues_express_implied_claims_chall_2014_cb462f_2644,assessable_claim,"This is an assessable claim about a company's past performance, specifically migrating clients from a competitor.","Sumo Logic recently migrated companies such as Salesforce.com, Autodesk, and Accenture from Splunk Enterprise"
harv_ev_nad_natures_truth_2026_7807a3_3687,not_a_claim,"This is a product name and dosage information, not an advertising claim about its benefits or performance.",Magnesium Glycinate Gummies 200 mg per serving
harv_ev_nad_nad_recommends_health_club_diet_llc_discontinue_heal_2018_67ff79_0912,assessable_claim,This is a self-contained and assessable claim about a product's ability to increase male attributes using patented technology.,"Androzene is an all-natural scientific breakthrough that uses patented technology to increase a man’s desire, firmness, stamina, and sensitivity"
harv_ev_nad_insurance_auto_auctions_to_discontinue_claims_at_iss_2009_2835d1_1448,assessable_claim,This is a direct and assessable claim about achieving the highest selling prices and returns.,Highest Selling Prices and Returns
harv_ev_nad_nad_recommends_healthylife_discontinue_certain_claim_2013_ba92e5_1949,assessable_claim,This is a clear and assessable claim about a product's ability to initiate weight loss.,Healthe Trim gets you started losing unwanted pounds
harv_ev_nad_nad_little_spoon_baby_food_claims_2020_e7361e_0177,fragment,"This is a slogan or a call to action, but without context, it's not a self-contained claim about a product's attributes or benefits.",Let’s keep it fresh
harv_ev_nad_nad_recommends_novartis_discontinue_speed_of_onset_c_2011_c22be1_1763,assessable_claim,This is a clear and assessable claim about a product's speed of action in relieving headaches.,starts relieving headaches faster
harv_ev_nad_nad_reviews_advertising_for_bayer_s_aleve_liquid_gel_2009_0b0203_1921,assessable_claim,This is a direct and assessable claim about the efficacy and duration of a product's pain relief.,Only two Aleve can stop pain all day
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0073,not_a_claim,"This is a product name and description, including material and thread count, not an advertising claim about its performance or benefits.",Simply Vera Vera Wang 600 Thread Count Supima Cotton Rayon from Bamboo Sheet Set or Pillowcases
harv_ev_nad_nad_finds_p_g_took_necessary_action_in_discontinuing_2013_387d61_2542,fragment,"This is a comparative fragment, missing the item being compared to 'a mop and bucket'.",than a mop and bucket
harv_ev_nad_nad_recommends_schmidt_s_deodorant_co_discontinue_ce_2017_e9a091_0385,assessable_claim,This is a self-contained claim about a product's performance and ingredients.,provides wetness protection without aluminum
harv_ev_nad_verizon_sprint_participate_in_nad_forum_2008_26ea02_0465,assessable_claim,This is a testimonial-style claim about the benefits and reliability of Verizon Wireless compared to 'that old service'.,We all upgraded to Verizon Wireless. Got push to talk and the reliability of the network. That old service is useless now
harv_ev_nad_nad_refers_advertising_claims_from_coorga_nutraceuti_2014_91b16d_1292,assessable_claim,"This is a clear, self-contained offer with a performance claim and a money-back guarantee.","Try Grey Defence Xtreme for 6 months, if the results don’t amaze, we’ll give you your money back"
harv_ev_ftc_volkswagen_clean_diesel_2016_0051,assessable_claim,This is a self-contained claim about the experience of 'going green' with a specific product or service.,Now going green doesn’t have to feel like you’re going green
harv_ev_caag_cri_genetics_2024_0576,fragment,This is a fragment that is too vague to be an assessable claim without more context. 'Lost in the market' could refer to many things.,lost in the market
harv_ev_nad_nad_fertilitysmart_claims_2021_3a1106_2944,assessable_claim,This is a self-contained claim about a product's health benefit.,Helps Maintain Healthy Uterine Lining
harv_ev_nad_bestcompany_com_moderated_reviews_claim_2022_bcbcf3_3120,assessable_claim,This is a self-contained claim about the nature and quality of the rankings and reviews provided.,Truly Independent and Impartial Rankings and Reviews
harv_ev_nad_nad_refers_advertising_for_brain_research_labs_proce_2014_a13dbe_0742,assessable_claim,This is a self-contained claim about the function and benefits of vinpocetine.,"vinpocetine, a substance that helps deliver increased oxygen and glucose to your brain"
harv_ev_nad_galderma_nemluvio_2025_c10001_3642,assessable_claim,This is a self-contained claim about the efficacy of a treatment for eczema.,treating eczema at its core
harv_ev_nad_nad_recommends_heartland_discontinue_99_natural_clai_2010_8c996b_0835,assessable_claim,This is a self-contained claim about the naturalness and calorie content of a sweetener.,Natural! No calorie Sweetener
harv_ev_nad_native_pg_2024_1f2f4f_2826,assessable_claim,This is a self-contained claim about the origin of a product.,Born in the USA
harv_ev_nad_4patriots_long_term_survival_food_kits_2022_87d73f_3282,assessable_claim,This is a self-contained claim about the authenticity and source of product reviews.,"Real Survival Food Reviews, from Real Customers"
harv_ev_nad_nad_reviews_advertising_for_dr_franks_s_joint_relief_2008_e6c113_0842,assessable_claim,This is a self-contained claim about the ease of use and benefit of a product for pets.,"You spray, your pet drinks, and they live pain free"
harv_ev_nad_nad_optimmuner_plus_ftc_fda_2020_8d260a_0444,assessable_claim,This is a self-contained claim about the speed and magnitude of improvements from a product.,Radical improvements during the first weeks
harv_ev_narb_narb_panel_recommends_neutrogena_discontinue_water_s_2014_eff7b3_2635,assessable_claim,This is a self-contained claim about the protective qualities of a product against water and sun.,water + sun barrier
harv_ev_nad_nad_reviews_advertising_claims_for_golf_clubs_follow_2013_6de119_2342,assessable_claim,This is a self-contained superlative claim about a golf driver.,longest driver in golf
harv_ev_nad_nad_recommends_p_g_discontinue_certain_claims_for_ol_2013_a6fede_0381,fragment,"This is a comparative fragment, missing what the product cleanses 'as effectively as'.",cleanses as effectively as
harv_ev_nad_nad_recommends_nature_s_way_discontinue_26_fruits_ve_2014_75927d_2424,assessable_claim,This is a self-contained claim about the tangible benefit of a product's nutrition.,Alive! is nutrition you can feel
harv_ev_nad_sumo_logic_discontinues_express_implied_claims_chall_2014_cb462f_2646,not_a_claim,"This is a heading or title for a comparison, not an advertising claim itself.",Sumo Logic vs. Splunk: Top 6 reasons to think beyond Splunk
harv_ev_nad_nad_recommends_charter_discontinue_one_version_of_mo_2018_be3be9_0996,fragment,"This is a fragment of a narrative or description, not a self-contained advertising claim.",went out in the rain
harv_ev_cfpb_hello_digit_2022_0001,assessable_claim,This is a self-contained claim about a product's ability to help users save money effortlessly.,save money without thinking about it
harv_ev_nad_nad_refers_advertising_for_stemulite_to_ftc_fda_for__2009_75d49d_1691,assessable_claim,This is a testimonial-style claim about the speed of results from using a product.,"Using Stemulite, I Have Seen Results in 2-3 Weeks"
harv_ev_ftc_devry_education_claims_2016_0099,assessable_claim,This is a self-contained claim offering assurance of career success through DeVry.,Count on DeVry for Career Success
harv_ev_nad_nad_recommends_nordic_us_discontinue_certain_claims__2013_99a34d_0988,assessable_claim,This is a self-contained advertising claim describing the product's composition and its innovative nature.,"Hair Volume is based on vitamins, minerals and innovative hair growth from apples. The composition is a unique innovation and reinvention of the old hair, skin and nail tablet"
harv_ev_nad_nad_reviews_advertising_claims_for_rental_carpet_cle_2013_f1e4ed_0829,fragment,"This is a rhetorical question that implies a comparison but doesn't state what 'that' or 'this' refers to, making it incomplete as a standalone claim.",Why Settle for That When You Can Rent This?
harv_ev_nad_nad_recommends_nature_s_way_discontinue_26_fruits_ve_2014_75927d_2423,assessable_claim,"This is a clear, self-contained claim about the product's ingredients.",made with 26 fruits and vegetables
harv_ev_nad_nad_recommends_at_t_modify_discontinue_certain_claim_2018_2a9db7_0261,fragment,This phrase is grammatically incomplete and lacks context to be understood as a full claim.,More for your stream like a boss thing
harv_ev_ftc_mediaalpha_insurance_leads_2025_0391,assessable_claim,"This is a clear, self-contained claim about pricing.",Health Plans from $1
harv_ev_nad_nad_recommends_metabolic_research_modify_discontinue_2010_527a7f_0520,assessable_claim,This is a self-contained claim listing specific benefits experienced by users of the product.,People who take Stemulite Experience: Deep REM Sleep Increased Muscle Gain and Endurance Increased Wellness and Energy
harv_ev_nad_nad_recommends_charter_discontinue_one_version_of_mo_2018_be3be9_0997,fragment,This is a descriptive phrase that lacks context to be an advertising claim. It sounds like part of a narrative.,"went out in the rain, again"
harv_ev_nad_accredited_debt_relief_claims_2022_911f09_2779,fragment,"This is a fragment because it doesn't specify 'whose' monthly payments or 'in half' compared to what, making it incomplete.",monthly payments in half
harv_ev_caru_caru_recommends_playmobil_modify_broadcast_advertisi_2012_6017df_1377,assessable_claim,"This is a series of descriptive claims about a product's features and qualities, which could be assessed for truthfulness.",It’s beautiful! So many rooms! A grand playroom! A master bedroom and balcony! Lights that work! And two grand staircases! It’s so grand!
harv_ev_ftc_volkswagen_clean_diesel_2016_0045,not_a_claim,"This appears to be a heading or a statement introducing a common misconception, not an advertising claim itself.",Diesel Old Wives’ Tale #6: Diesel is Dirty
harv_ev_nad_nad_recommends_triumph_pharmaceuticals_discontinue_c_2018_329a83_1896,assessable_claim,"This is a clear, self-contained claim about the product's benefit.",soothing moisture for a dry mouth
harv_ev_nad_nad_reviews_advertising_for_bayer_one_a_day_all_day__2007_d5912a_1647,assessable_claim,This is a self-contained claim about the product's benefits and mechanism.,Helps You Feel Mentally and Physically Energized All Day with an Extended-Release Guarana Blend
harv_ev_nad_nad_finds_proven_health_acted_properly_in_discontinu_2012_f31bac_2362,assessable_claim,"This is a clear, self-contained claim about the product's intended benefit.",Support your healthy circulatory system
harv_ev_nad_nad_recommends_central_coast_nutraceuticals_modify_d_2009_453719_0091,assessable_claim,"This is a clear, self-contained claim about market leadership.",America’s #1 Cleansing product
harv_ev_nad_klf_international_says_it_will_discontinue_claims_fo_2016_b3cc26_0100,assessable_claim,"This is a clear, self-contained claim about a product's effect.",Dramatically increasing your female metabolism
harv_ev_nad_nad_refers_advertising_for_cytosport_s_muscle_milk_t_2009_d48552_0202,assessable_claim,"This is a clear, self-contained descriptive claim about a product.",High Protein Chocolate Milk Shake
harv_ev_nad_native_advertising_nad_reviews_joyus_product_videos__2016_aa9bb2_0972,assessable_claim,"This is a self-contained metaphorical claim about a product's effect, implying a strong benefit.",Botox in a bottle
harv_ev_nad_nad_recommends_walmart_discontinue_certain_savings_c_2011_a665ed_1256,assessable_claim,"This is a clear, self-contained comparative claim about savings.",save 30% or more versus the national office superstores
harv_ev_nad_nad_finds_coca_cola_can_support_certain_claims_for_m_2009_0a6788_2206,fragment,"This is a proverbial phrase that, without context, doesn't function as a specific advertising claim about a product.","put good in, get good out"
harv_ev_nad_nad_air_wick_essential_mist_claim_2020_409385_2246,assessable_claim,"This is a clear, self-contained claim about how a product functions.",naturally diffuses fragrances into mist
harv_ev_nad_biossance_2024_ad714a_2859,assessable_claim,This is a self-contained claim about the product's ingredients and their safety.,Clean ingredients and clean formulas – we ban over 2000 ingredients that are known to be toxic to you and the environment
harv_ev_narb_narb_recommends_directv_discontinue_worry_free_relia_2018_a8508a_0425,not_a_claim,"This sounds like a customer's concern or a statement about a potential problem, not an advertising claim made by a company.",My signal will go out
harv_ev_nad_chipotle_sustainability_claims_2022_fb2b67_3103,assessable_claim,This is a self-contained claim about environmental benefits and how they are achieved.,"Reduced Carbon Emissions: From Farm to foil, we’re reducing greenhouse gas emissions by optimizing our supply chain, compared to conventional ingredients"
harv_ev_nad_verizon_sprint_participate_in_nad_forum_2008_26ea02_0467,fragment,This is a statement that lacks context. It's unclear what 'old service' refers to or why it's 'useless now' in an advertising context.,old service is useless now
harv_ev_nad_nad_refers_advertising_for_amilife_edc_fidget_spinne_2017_45de49_0786,assessable_claim,"This is a clear, self-contained claim about the product's benefits for specific conditions.","Great for anxiety, focusing, ADHD, autism"
harv_ev_nad_nad_finds_t_mobile_s_crowdsourced_data_can_serve_as__2015_877fd0_0586,assessable_claim,This is a self-contained advertising claim that makes a comparative statement about T-Mobile's network capacity.,T-Mobile’s network has more data capacity per customer than Verizon and AT&T
harv_ev_nad_nad_finds_chase_doesn_t_mislead_consumers_with_point_2013_dd1b14_1761,assessable_claim,This is a self-contained advertising claim that describes the benefits of Chase Freedom and compares it to a competitor.,"Chase Freedom gives you a full 1% cash back from your first purchase. Unlike the Largest Cash Back Card, which only gives you 0.25% until you spend $3,000, every Year"
harv_ev_nad_nad_recommends_verizon_discontinue_claim_twice_as_fa_2012_dd7af1_1095,fragment,This is a comparative claim but it's cut off. 'twice as fast' needs to specify what is twice as fast.,twice as fast as any AT&T smartphone
harv_ev_nad_nad_examines_advertising_from_ideavillage_for_slimsh_2008_b53f7b_1313,assessable_claim,"This is a self-contained advertising claim about the efficacy of a product, supported by clinical studies.",Demonstrated to work in 4 published clinical studies
harv_ev_nad_nad_recommends_french_s_discontinue_facebook_commerc_2017_aa7d13_0613,fragment,"This is a question, not a claim, and it's likely part of a larger narrative or explanation. It doesn't make a direct promise.",why our ketchup tastes great
harv_ev_nad_guideline_arr_2025_8300bd_3613,not_a_claim,"This appears to be a financial metric or a heading, not an advertising claim directed at consumers.",nearly $140 million ARR
harv_ev_caru_caru_recommends_mga_entertainment_modify_packaging_f_2012_97dbf8_0890,assessable_claim,This is a self-contained advertising claim about a product feature.,Now with 100s of poses
harv_ev_nad_nad_finds_presence_of_baby_experts_in_prego_commerci_2017_9b7ce4_2376,not_a_claim,"This is descriptive text about an experiment or demonstration, not a direct advertising claim about a product's benefit.",We took lifelong pasta experts and gave one Prego Traditional and one Ragu Traditional. This is what happened
harv_ev_nad_december_fast_track_swift_2022_0db7a5_3096,assessable_claim,This is a self-contained advertising claim making a superlative statement about a product.,first and only high velocity hair dryer and styling system
harv_ev_dssrc_dssrc_refers_aloe_veritas_to_ftc_2019_f6e752_0127,assessable_claim,This is a self-contained advertising claim promising a benefit to the consumer (or potential business partner).,We give you the means to achieve an extraordinary level of success
harv_ev_nad_nad_recommends_discontinuation_of_health_related_sup_2020_aa9d1d_2657,assessable_claim,This is a self-contained advertising claim making a superlative statement about a product's speed of treatment.,Shortest yeast infection treatment on the market
harv_ev_ftc_opendoor_ibuying_2022_0450,assessable_claim,This is a self-contained advertising claim making a promise or offer to the consumer.,"just finished analyzing your home’s market value, and we’re excited to make you an offer!"
harv_ev_nad_nad_recommends_discontinuance_of_health_and_doctor_r_2019_7e12c4_0284,fragment,This is a fragment. 'easing baby's cold symptoms' needs to be connected to a product or method to be a full claim.,easing baby’s cold symptoms
harv_ev_nad_nad_reviews_advertising_for_prostalex_plus_2009_1f6344_0323,assessable_claim,This is a self-contained advertising claim promising a specific health benefit.,regain your youthful prostate function
harv_ev_ftc_mediaalpha_insurance_leads_2025_0382,not_a_claim,"This appears to be a category heading or a descriptive label, not an advertising claim.",Top Health Insurance Providers
harv_ev_nad_safe_catch_tuna_mercury_testing_claims_2021_8ddf06_3321,not_a_claim,"This is a question, likely a rhetorical one, and not a direct advertising claim about a product's benefit or feature.",Why test every tuna?
harv_ev_nad_nad_finds_peak_life_can_support_certain_claims_for_s_2011_057b32_1354,assessable_claim,This is a self-contained advertising claim about a product's effect on sleep.,Somnapure’s unique sleep blend will help promote a calm and relaxing sleep
harv_ev_nad_nad_finds_brain_research_can_support_certain_claims__2009_52778c_1181,assessable_claim,This is a self-contained advertising claim making a superlative statement about a product's efficacy and validation.,"First University-Validated Mood, Memory & Cognitive Enhancer with Double Proof of Efficacy"
harv_ev_nad_nad_recommends_behavioral_technology_group_discontin_2017_8dd86c_2402,assessable_claim,This is a self-contained advertising claim about the effectiveness of a product in helping people quit habits.,"Pavlok has helped hundreds quit smoking, nail-biting, unhealthy eating, overspending, and more"
harv_ev_nad_nad_recommends_matrixx_discontinue_claims_that_sugge_2013_9ac7cd_1369,not_a_claim,"This is an imperative statement or a slogan, not a direct claim about a product's attributes or benefits.",Don’t let a monster of a cold catch you
